클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
16,29707,4169,2439,2010,15100,35288,76087,172138,222447,174541,172235,157094,159536,178630,172271,193198,227475,222100,230952,192469,151191,141247,133254,79822
17,52982,17671,11721,7332,16594,76342,171082,416010,605826,375035,266685,260173,287294,296041,293187,330353,369475,468309,592188,431323,343964,329927,320695,183498
18,33678,16216,6455,5573,27407,35463,72535,178566,236813,160531,139916,137338,151756,158029,159176,191662,214000,216431,243119,201277,153678,135457,117144,65850
19,29507,4429,1302,1127,14880,42314,95942,249425,282639,210698,170445,165300,192953,216687,213370,262195,313946,338168,337996,267621,193926,210993,241605,92828
20,73880,21614,13810,10227,59250,139447,291588,654380,852149,633853,525364,508795,549791,574781,563478,646501,722597,753552,837849,673905,514464,477899,436298,233043
21,221484,77041,38548,31389,125825,262417,485655,968567,1347554,1015200,854870,898930,949983,982616,1005156,1151872,1298093,1371115,1605662,1335117,1017683,906109,819062,521169
22,15894,4178,2936,2444,17490,29252,54912,117178,151140,99004,84568,81356,93624,93063,89349,102906,120600,127904,144986,134075,92182,82456,69539,35720
23,118059,49532,34895,26295,31809,90967,165080,364389,562910,515932,356704,331170,367104,399270,400077,416978,459976,551659,678425,497325,380740,382265,370157,226455
24,26072,3810,836,996,19012,54681,129068,305232,387783,266209,196164,186617,202136,213918,209653,240823,278972,316757,354092,277523,204166,184014,172587,90817
25,17529,2056,2735,2080,11430,54533,87709,179207,258155,160282,122806,114681,124401,130114,128253,140372,161940,191601,231150,180675,130029,116287,105775,62265
26,8301,2077,1512,1365,6785,19022,30945,68460,99599,81315,64292,66280,75580,87077,96318,108514,119519,128453,143356,107667,77408,63957,50741,25400
27,12668,4757,2902,2099,23388,29945,54234,106087,137431,97375,89577,87594,92235,100210,99731,109428,108233,122332,138994,101780,81652,79368,66908,26773
28,36717,4534,1412,1531,17591,46139,104534,237294,299977,216658,177983,172225,194232,203996,198640,236646,278596,287913,303170,249231,197317,194364,164417,92732
29,15724,1216,0,283,31699,90678,166676,454264,755539,465012,229002,181929,189151,201003,197603,230951,282024,417668,494228,362179,264526,224344,176050,104069
30,30731,8775,5467,4299,12877,61054,109222,271326,388555,283863,246519,242420,250615,258533,253536,274230,318218,337489,379768,278752,227292,217846,196700,100059
31,14367,2274,1478,734,12152,33968,75759,175680,233088,170202,143195,143375,151728,153404,152925,171478,191606,195112,204573,164331,126358,114507,102700,58871
32,23594,4444,2546,2723,14894,43150,128382,302316,348666,235346,176598,168055,189140,195713,193567,227850,284780,274561,325211,273418,199320,179406,171186,81341
33,19,0,0,0,0,96,691,1631,1814,921,788,629,710,627,607,650,777,789,1048,1049,665,577,514,459
